#Sample	Metric	Value
11166.fmnh.2643	Weighted NSTI	0.021123101701257665
11166.fmnh.433	Weighted NSTI	0.028103713894723544
11166.fmnh.434	Weighted NSTI	0.061213478234931486
11166.fmnh.1233	Weighted NSTI	0.04076030321606701
11166.fmnh.410	Weighted NSTI	0.012657793614923583
11166.fmnh.1258	Weighted NSTI	0.025077646622385524
11166.fmnh.1184	Weighted NSTI	0.03262013090596883
11166.fmnh.1310	Weighted NSTI	0.039515057014721314
11166.fmnh.2743	Weighted NSTI	0.22311496394808522
11166.fmnh.308	Weighted NSTI	0.016869237696827646
11166.fmnh.164	Weighted NSTI	0.039493389614476286
11166.fmnh.2702	Weighted NSTI	0.07997725157360738
11166.fmnh.924	Weighted NSTI	0.03723881775098482
11166.fmnh.1010	Weighted NSTI	0.033859297101289265
11166.fmnh.1275	Weighted NSTI	0.036631032903747446
11166.fmnh.325	Weighted NSTI	0.019861072456071785
11166.fmnh.163	Weighted NSTI	0.019237409798578867
11166.fmnh.2776	Weighted NSTI	0.0615199084543436
11166.fmnh.2780	Weighted NSTI	0.060990818686858704
11166.fmnh.1206	Weighted NSTI	0.036487689765832644
11166.fmnh.2739	Weighted NSTI	0.03224038585330852
11166.fmnh.1222	Weighted NSTI	0.021697318900257605
11166.fmnh.982	Weighted NSTI	0.05848541920121564
11166.fmnh.1249	Weighted NSTI	0.027784025877153812
11166.fmnh.1040	Weighted NSTI	0.033411143549061204
11166.fmnh.1047	Weighted NSTI	0.04052019503142563
11166.fmnh.1192	Weighted NSTI	0.033083504675549345
11166.fmnh.985	Weighted NSTI	0.09743586238125652
11166.fmnh.383	Weighted NSTI	0.029862977661468722
11166.fmnh.2755	Weighted NSTI	0.02597620415110916
11166.fmnh.918	Weighted NSTI	0.022146242504107332
11166.fmnh.422	Weighted NSTI	0.03409663757438983
11166.fmnh.1322	Weighted NSTI	0.0315549981554061
11166.fmnh.932	Weighted NSTI	0.04553204341879095
11166.fmnh.1264	Weighted NSTI	0.0447464412087704
