DATASET_COLORSTRIP

SEPARATOR SPACE

COLOR #8ab2df

DATASET_LABEL categorical_colorstrip

Tachyglossus_aculeatus #FFFFFF
Tamandua_tetradactyla #FFFFFF
Tangara_episcopus #000000
Tapirus_terrestris #FFFFFF
Taraba_major #000000
Testudo_hermanni #FFFFFF
Thalasseus_sandvicensis #000000
Thamnophilus_atrinucha #000000
Theloderma_corticale #FFFFFF
Theropithecus_gelada #FFFFFF
Thraupis_palmarum #000000
Threskiornis_aethiopicus #000000
Thryothorus_ludovicianus #000000
Tinamus_major #000000
Tityra_inquisitor #000000
Tockus_deckeni #000000
Tockus_erythrorhynchus #000000
Tockus_nasutus #000000
Todiramphus_recurvirostris #000000
Tolmomyias_assimilis #000000
Tolypeutes_matacus #FFFFFF
Torgos_tracheliotos #000000
Trachops_cirrhosus #000000
Trachycephalus_resinifictrix #FFFFFF
Trachypithecus_auratus #FFFFFF
Trachypithecus_francoisi #FFFFFF
Trachypithecus_vetulus #FFFFFF
Tragelaphus_angasii #FFFFFF
Tragelaphus_eurycerus #FFFFFF
Tragelaphus_imberbis #FFFFFF
Tragelaphus_oryx #FFFFFF
Tragelaphus_strepsiceros #FFFFFF
Tragulus_javanicus #FFFFFF
Tragulus_napu #FFFFFF
Tremarctos_ornatus #FFFFFF
Treron_calvus #000000
Treron_vernans #000000
Treron_waalia #000000
Triaenops_afer #000000
Trichechus_manatus #FFFFFF
Trichoglossus_haematodus #000000
Tringa_brevipes #000000
Tringa_glareola #000000
Tringa_melanoleuca #000000
Tringa_semipalmata #000000
Tringa_totanus #000000
Trioceros_melleri #FFFFFF
Troglodytes_aedon #000000
Troglodytes_troglodytes #000000
Trogon_massena #000000
Trogon_rufus #000000
Tupaia_belangeri #FFFFFF
Turdus_obscurus #000000
Turdus_olivater #000000
Turnix_suscitator #000000
Tursiops_truncatus #FFFFFF
Tympanuchus_phasianellus #000000
Tyrannus_savana #000000
Tyrannus_tyrannus #000000
Tyto_alba #000000
Uraeginthus_angolensis #000000
Urile_pelagicus #000000
Urile_urile #000000
Urocitellus_parryii #FFFFFF
Urocitellus_richardsonii #FFFFFF
Urocolius_macrourus #000000
Uroderma_bilobatum #000000
Uromastyx_aegyptia #FFFFFF
Uroplatus_fimbriatus #FFFFFF
Uroplatus_lineatus #FFFFFF
Ursus_americanus #FFFFFF
Ursus_arctos #FFFFFF
Vampyressa_thyone #000000
Vanellus_vanellus #000000
Varanus_albigularis #FFFFFF
Varanus_indicus #FFFFFF
Varanus_komodoensis #FFFFFF
Varanus_macraei #FFFFFF
Varanus_olivaceus #FFFFFF
Varanus_rudicollis #FFFFFF
Varecia_rubra #FFFFFF
Varecia_variegata #FFFFFF
Vicugna_vicugna #FFFFFF
Vidua_funerea #000000
Vidua_paradisaea #000000
Vireo_gilvus #000000
Vulpes_zerda #FFFFFF
Xanthocephalus_xanthocephalus #000000
Xenops_minutus #000000
Xenus_cinereus #000000
Xiphorhynchus_susurrans #000000
Zaedyus_pichiy #FFFFFF
Zalophus_californianus #FFFFFF
Zenaida_auriculata #000000
Zenaida_graysoni #000000
Zentrygon_goldmani #000000
